case,measured_time_norm,variant,scaled_error,abs_dT_K,max_abs_dY,rel_dT,log_gamma_error_vs_oracle,a,decoded_status
test_0,0.10000000000000003,A,0.00014218946332177703,0.007252719867210544,8.822013961018449e-07,2.639099284176145e-06,,,simulated_or_oracle
test_0,0.10000000000000003,B,0.0001423888245723899,0.006813463186517765,8.834830046988706e-07,2.4792637999977445e-06,-0.0001933662897677796,,simulated_or_oracle
test_0,0.10000000000000003,C,6.21488888616933e-06,0.0004571370168378053,2.9616933461262818e-08,1.663417305501244e-07,,0.00012749670616424657,admissible
test_0,0.10000000000000003,D,3.2202561531646018e-06,0.00021085662910991232,1.8440240223682736e-08,7.672591650252005e-08,,,simulated_or_oracle
test_1,0.09999999999999994,A,0.0002470816150352767,0.012670124489886803,1.532637855738983e-06,4.609548027874283e-06,,,simulated_or_oracle
test_1,0.09999999999999994,B,0.0002470975142990548,0.012437997946108226,1.5463990174491293e-06,4.525097519677156e-06,-3.622470856338609e-05,,simulated_or_oracle
test_1,0.09999999999999994,C,2.4540915287536493e-05,0.0013869233116565738,1.58511091280511e-07,5.045798580086838e-07,,0.0001937916450524253,admissible
test_1,0.09999999999999994,D,6.636290520635618e-06,0.0004348425045463955,3.7910886999115156e-08,1.5820108246510683e-07,,,simulated_or_oracle
test_2,0.10000000000000005,A,0.000198886387020424,0.010266288052207528,1.2333975686895648e-06,3.7347333875902974e-06,,,simulated_or_oracle
test_2,0.10000000000000005,B,0.00019948296398126773,0.010437737686061155,1.282333426361193e-06,3.7971043895130014e-06,0.0003360637797575408,,simulated_or_oracle
test_2,0.10000000000000005,C,2.093026748579956e-05,0.0007837208290766284,1.6237528848925264e-07,2.8510678173237615e-07,,0.0001692931178088401,admissible
test_2,0.10000000000000005,D,6.3917383385610595e-06,0.0004191409616396413,3.636043421559321e-08,1.5247767601900412e-07,,,simulated_or_oracle
test_3,0.1000000000000001,A,0.000221305530775083,0.011292682219846029,1.373275639593441e-06,4.108207641591586e-06,,,simulated_or_oracle
test_3,0.1000000000000001,B,0.00022130962508105847,0.011383490296793752,1.3655902883213944e-06,4.141243055886629e-06,-2.432794508733238e-06,,simulated_or_oracle
test_3,0.1000000000000001,C,0.0002213096231138911,0.01138348991435123,1.3655902883213944e-06,4.1412429167564145e-06,,0.0,admissible
test_3,0.1000000000000001,D,0.00022130553078900578,0.011292682222574513,1.373275639593441e-06,4.108207642584191e-06,,,simulated_or_oracle
test_4,0.10000000000000005,A,8.61278890089872e-05,0.0043814696214212745,5.343553280967583e-07,1.5941644250954904e-06,,,simulated_or_oracle
test_4,0.10000000000000005,B,8.63713416123389e-05,0.003933827445507632,5.425005194514831e-07,1.4312932212133596e-06,-0.00016645012983001334,,simulated_or_oracle
test_4,0.10000000000000005,C,3.1627693175412144e-05,0.001887678734419751,1.8861226858124525e-07,6.868175622418418e-07,,0.0001020857284228285,admissible
test_4,0.10000000000000005,D,1.7805884413323764e-06,0.00011585196398300468,1.0277310634465575e-08,4.2151856686670525e-08,,,simulated_or_oracle
test_5,0.10000000000000003,A,5.737092086891001e-05,0.0029550398876381223,3.560840869110127e-07,1.0752862379333677e-06,,,simulated_or_oracle
