label,role,measured_norm,iv_old_lo,iv_old_hi,iv_old_width,iv_new_lo,iv_new_hi,iv_new_width,binding_lo,binding_hi,a_oracle,a_lin,active_bound,dT_over_da
transverse_r0.03_s+1,train,0.0173,0.0,2.6678133663626395,2.6678133663626395,-0.6578496379050512,2.6678133663626395,3.3256630042676907,H,H2,4.041590456942791e-05,1.6464924312046086e-06,,-57.025430456879754
transverse_r0.03_s-1,train,0.0173,0.0,2.6682305674395868,2.6682305674395868,-0.6577868591915472,2.6682305674395868,3.326017426631134,H,H2,-4.0514569581031874e-05,-1.6505126564543289e-06,,-57.02543236265034
transverse_r0.1_s+1,train,0.0577,0.0,2.6675118187340017,2.6675118187340017,-0.657955073663826,2.6675118187340017,3.3254668923978277,H,H2,0.0001343589147130637,5.473613838921039e-06,,-57.02543877971318
transverse_r0.1_s-1,train,0.0577,0.0,2.6689065707163566,2.6689065707163566,-0.6577460620894885,2.6689065707163566,3.3266526328058452,H,H2,-0.00013545126248860982,-5.518110493007965e-06,,-57.025445322133734
transverse_r0.3_s+1,train,0.1732,0.0,2.6677154557587732,2.6677154557587732,-0.6584456393742868,2.6677154557587732,3.32616109513306,H,H2,0.00040051140515924,1.6316293205932736e-05,,-57.025523652447305
transverse_r0.3_s-1,train,0.1732,0.0,2.672007743062671,2.672007743062671,-0.6578252233597606,2.672007743062671,3.3298329664224315,H,H2,-0.00041000663340931066,-1.6703095652920645e-05,,-57.02554830858023
transverse_r0.6_s+1,train,0.3464,0.0,2.6708624757884865,2.6708624757884865,-0.6597046935644043,2.6708624757884865,3.3305671693528907,H,H2,0.0007972117497974669,3.247706335199461e-05,,-57.025816165206415
transverse_r0.6_s-1,train,0.3464,0.0,2.6801864148292975,2.6801864148292975,-0.6585086599538427,2.6801864148292975,3.33869507478314,H,H2,-0.0008306455102986152,-3.3839015701035604e-05,,-57.02590000496991
transverse_r1_s+1,train,0.5774,0.0,2.6802032269552996,2.6802032269552996,-0.662377799311051,2.6802032269552996,3.3425810262663505,H,H2,0.0013361400276101127,5.443109798192557e-05,,-57.02651256574771
transverse_r1_s-1,train,0.5774,0.0,2.6987694048714057,2.6987694048714057,-0.660563055320611,2.6987694048714057,3.3593324601920167,H,H2,-0.0013988246939453763,-5.698426953962559e-05,,-57.02679483193663
infamily_r0.03,train,0.0300,0.0,2.671393052497372,2.671393052497372,-0.6585475961618843,2.671393052497372,3.329940648659256,H,H2,-7.053674467977072e-14,-2.696439133239744e-15,,-57.02564307515811
infamily_r0.1,train,0.1000,0.0,2.6797042297835283,2.6797042297835283,-0.6603435777354408,2.6797042297835283,3.3400478075189692,H,H2,-5.553725737100061e-14,-2.111194390433212e-15,,-57.026165771674826
infamily_r0.3,train,0.3000,0.0,2.7068751738516195,2.7068751738516195,-0.6662130699589204,2.7068751738516195,3.37308824381054,H,H2,-7.9173040734577e-14,-3.1874518048563116e-15,,-57.02788570558239
heldout_0,train,0.1000,0.0,2.671764564165203,2.671764564165203,-0.6587530268562856,2.671764564165203,3.3305175910214886,H,H2,-0.00012424398881061556,-5.06150425950597e-06,,-57.02568631014961
heldout_1,train,0.3000,0.0,2.6505864005818105,2.6505864005818105,-0.653228393791717,2.6505864005818105,3.3038147943735274,H,H2,-3.042424742626096e-05,-1.2394846982999184e-06,,-57.024214018142594
heldout_2,train,0.6000,0.0,2.67716647869363,2.67716647869363,-0.6558319981432157,2.67716647869363,3.3329984768368455,H,H2,-0.0009485213202345051,-3.86415461070628e-05,,-57.0254332838931
heldout_3,train,0.1000,0.0,2.671377473022199,2.671377473022199,-0.6589502132842584,2.671377473022199,3.3303276863064575,H,H2,0.00022506635944561496,9.168853917033404e-06,,-57.02570700574469
heldout_4,train,0.3000,0.0,2.652485615996233,2.652485615996233,-0.6558720503635042,2.652485615996233,3.308357666359737,H,H2,0.0003018666357958121,1.2297903754578459e-05,,-57.024690185791904
heldout_5,train,0.6000,0.0,2.7264710758636865,2.7264710758636865,-0.6702289634275408,2.7264710758636865,3.396700039291227,H,OH,-0.001431585073581533,-5.831488709141391e-05,,-57.02935373892427
heldout_6,train,0.1000,0.0,2.6606227836008807,2.6606227836008807,-0.6558700884599405,2.6606227836008807,3.316492872060821,H,H2,-0.00011496463384227976,-4.683577939435399e-06,,-57.024913072152536
heldout_7,train,0.3000,0.0,2.6599471061202933,2.6599471061202933,-0.6576270991234165,2.6599471061202933,3.3175742052437096,H,H2,0.00018971897149022354,7.728966887791714e-06,,-57.02517956916937
