label,norm,A_oracle_reference_err,B_predicted_reference_err,C_predicted_reference_plus_predicted_correction_err,D_oracle_reference_plus_oracle_correction_err,E_predicted_reference_plus_oracle_correction_err,a_raw,a_applied,a_raw_outside,decoded_status,D_a,D_active_bound,E_a
test_0,0.1000,0.0002653222364921534,0.0002653284078942096,6.178168773194091e-06,5.058889694554546e-06,5.689292704196529e-06,-0.00022834049985237217,-0.00022834049985237217,False,admissible,-0.00023043851626442486,,-0.00023043284424795128
test_1,0.1000,7.36107231985458e-05,7.713623253778029e-05,2.495898777682667e-05,2.323986510505834e-06,2.4622999602928127e-05,5.995572780872765e-05,5.995572780872765e-05,False,admissible,6.391246404172846e-05,,6.350124550293477e-05
test_2,0.1000,5.817157093272384e-06,1.7534315623737488e-05,1.697849126641124e-05,1.4930052778376533e-07,1.663219512726457e-05,1.8591161983204616e-06,1.8591161983204616e-06,False,admissible,5.0516136265486556e-06,,4.822750428715698e-06
test_3,0.1000,0.00010604935991470405,0.00010651411698047409,1.044149356622039e-05,2.4609856243962884e-06,8.795421474721572e-06,-9.709941489792454e-05,-9.709941489792454e-05,False,admissible,-9.209860235561645e-05,,-9.221118641981596e-05
test_4,0.3000,0.00046426576092567994,0.00046961486597156776,6.467556251891602e-05,1.0403185666300622e-05,6.332000074665345e-05,-0.0003927751895171031,-0.0003927751895171031,False,admissible,-0.000403194885277658,,-0.00040421751032135956
test_5,0.3000,3.0099874404006403e-05,3.092122583283602e-05,9.893634984562752e-06,4.066978556831804e-07,7.16909573061215e-06,2.0206029226229973e-05,2.0206029226229973e-05,False,admissible,2.6144937258870327e-05,,2.612896770231821e-05
test_6,0.3000,0.00034519621821659327,0.00034625204846762034,5.6357855594264114e-05,1.1966657504480232e-06,2.720097229579669e-05,-0.0003427302870834642,-0.0003427302870834642,False,admissible,-0.0002998636118229118,,-0.00029985309432231763
test_7,0.3000,0.000458024335065968,0.0004593336655251259,4.952861795170582e-05,1.4911248716955344e-05,4.639546369487305e-05,0.0004120362104453645,0.0004120362104453645,False,admissible,0.00039766874684608145,,0.00039697635878000137
test_8,0.6000,8.463419898628e-05,0.0004827927318654375,0.0005124837211395668,6.142389906528984e-07,0.0004754366919538186,-9.325343067331145e-05,-9.325343067331145e-05,False,admissible,7.351652033851652e-05,,7.293046784842178e-05
test_9,0.6000,0.0009057720216466617,0.0011932409795161962,0.0008174704133432363,2.4619039665502226e-05,0.000794344045097238,-0.0009411893288102436,-0.0009411893288102436,False,admissible,-0.0007865251173350109,,-0.0007734770868966054
test_10,0.6000,0.0016334160134706497,0.0025763770748111984,0.0020126532503124696,3.2810758920200717e-05,0.0020117521951138247,0.0013458392747060254,0.0013458392747060254,False,admissible,0.0014186180907396358,,0.00139815075831628
test_11,0.6000,0.0005575651941014988,0.0005861594686252143,0.00017815145788246473,6.691099148814541e-06,0.00017674315712509582,-0.00046607177760255703,-0.00046607177760255703,False,admissible,-0.0004843169644913336,,-0.0004854923335901864
